NCES ID,State,School District (Portal Name),acfrs_original_name,Year,Net Pension Liability,Net Pension Asset,NPL less NPA,States Proportionate Share of Net Pension liability,Overall Liability (Asset) Associated with District Staff,Comments,Employer name in GASB 68/ACFR,
1700024,IL,A.E.R.O Special Education Cooperative,A.E.R.O Special Education Cooperative,2020,"2,346,289",,"2,346,289","65,441,798","67,788,087",,,
4500690,SC,Abbeville County School District,Abbeville County School District,2020,"39,027,647",,"39,027,647",,"39,027,647",,,
5500030,WI,Abbotsford School District,Abbotsford School District,2020,,"803,632","-803,632",,"-803,632",,,
4807380,TX,Abbott Independent School District,Abbott Independent School District,2020,"579,904",,"579,904","1,434,720","2,014,624",,,
601620,CA,ABC Unified School District,Abc Unified School District,2020,"246,015,588",,"246,015,588","92,738,056","338,753,644",,,
1600030,ID,Aberdeen School District 58,Aberdeen School District 58,2020,"1,249,956",,"1,249,956",,"1,249,956",,,
2800360,MS,Aberdeen School District,Aberdeen School District,2020,"18,206,461",,"18,206,461",,"18,206,461",,,
5300030,WA,Aberdeen School District No.5,Aberdeen School District No.5,2020,"13,649,902",,"13,649,902",,"13,649,902",,,
4602070,SD,Aberdeen School District 6-1,Aberdeen School District 6-1,2020,,"125,107","-125,107",,"-125,107",,,
4807410,TX,Abernathy Independent School District,Abernathy Independent School District,2020,"2,037,713",,"2,037,713","4,299,995","6,337,708",,,
2003180,KS,Abilene Unified School District No. 435,Abilene Unified School District No. 435,2020,"11,966,245",,"11,966,245",,"11,966,245",,,
4807440,TX,Abilene Independent School District,Abilene Independent School District,2020,"49,216,226",,"49,216,226","72,420,575","121,636,801",,,
4202010,PA,Abington Heights School District,Abington Heights School District,2020,"74,618,000",,"74,618,000",,"74,618,000",,,
4202040,PA,Abington School District,Abington School District,2020,"269,327,000",,"269,327,000",,"269,327,000",,,
3400660,NJ,Absecon Board of Education,Absecon Board Of Education,2020,"2,225,818",,"2,225,818","33,993,930","36,219,748",,,
